specObjID,class_label,u,g,r,i,z,w1,w2,w3,w4,u_g,g_r,color
8394923948169779200,STAR,18.29844,16.79933,16.22437,16.0085,15.88398,14.427,14.522,12.572,8.853,1.4991099999999982,0.5749600000000008,blue
327643777185376256,GALAXY,20.29512,18.50239,17.54567,17.1567,16.78707,14.537,14.497,12.553,8.699,1.7927300000000024,0.9567199999999971,red
8390298028175808512,STAR,20.48441,17.92519,16.80645,16.38019,16.14108,14.186,14.147,12.43,9.325,2.55922,1.118739999999999,blue
1037076449678354432,QSO,20.05415,19.78927,19.54503,19.36939,19.17887,15.252,14.408,11.745,9.084,0.26488000000000156,0.2442399999999978,green
347910801249560576,QSO,19.55565,18.91477,18.66573,18.35136,18.12584,13.778,12.699,10.189,7.96,0.6408799999999992,0.24904000000000082,green
4317961201244198912,GALAXY,25.33921,22.01229,20.3079,19.46426,19.04625,15.774,15.65,12.4,8.913,3.326920000000001,1.70439,red
364805341663225856,STAR,21.4113,19.18234,17.86785,17.25657,16.89166,14.838,14.735,12.087,8.768,2.2289600000000007,1.3144899999999993,blue
4254958354500442112,GALAXY,23.38361,20.92722,19.13383,18.39075,18.03943,15.039,14.786,12.579,8.995,2.4563900000000025,1.7933899999999987,red
339038291296806912,GALAXY,20.26307,18.86281,17.88436,17.44683,17.19203,14.344,13.671,10.467,8.025,1.4002599999999994,0.9784499999999987,red
4541918251895248896,QSO,21.37905,20.59484,20.6019,20.41265,20.18384,18.12,16.204,12.953,8.982,0.7842099999999981,-0.007059999999999178,green
409841343540520960,QSO,19.74162,18.40923,17.35468,16.87231,16.55833,14.396,13.934,10.454,8.162,1.3323900000000002,1.0545500000000025,green
331042918355724288,QSO,19.41252,19.21079,19.07245,18.95114,18.74034,14.046,12.882,10.251,8.308,0.2017300000000013,0.13833999999999946,green
3287702571308836864,STAR,18.87737,17.40686,16.81143,16.57474,16.45287,14.853,14.915,12.265,8.907,1.4705099999999973,0.5954300000000003,blue
4525085274066409472,GALAXY,17.63685,16.07695,15.16915,14.71796,14.36342,12.6,12.575,9.614,7.947,1.559899999999999,0.9077999999999999,red
1399629697926588416,GALAXY,21.36971,19.8243,18.92685,18.33403,18.00107,14.951,14.689,10.63,8.382,1.5454100000000004,0.8974499999999992,red
3259599603942582272,STAR,17.14923,15.54331,15.00412,14.8333,14.76185,13.422,13.457,11.949,8.796,1.6059199999999993,0.5391899999999996,blue
1035951649803233280,QSO,20.54255,20.10601,20.11103,19.86643,19.82773,15.915,15.093,12.182,8.839,0.43653999999999726,-0.005019999999998248,green
4538756880567392256,GALAXY,21.45575,19.76401,18.95268,18.2093,17.86148,14.991,14.753,11.003,8.866,1.6917399999999994,0.8113299999999981,red
4326926889036044288,QSO,21.33995,20.93642,20.8943,20.76987,20.34469,17.011,16.128,12.661,8.45,0.4035300000000035,0.04211999999999705,green
4531804939161458688,GALAXY,20.61366,18.96446,17.60786,17.069,16.71264,14.229,13.859,11.305,9.378,1.6492000000000004,1.3566000000000003,red
4535348944562313216,GALAXY,22.44817,21.48343,20.35387,19.5844,19.14451,15.253,15.23,12.175,8.814,0.9647400000000026,1.129559999999998,red
334459100530239488,GALAXY,24.68729,21.02763,19.17496,18.46192,17.95231,14.949,14.67,12.68,9.426,3.6596600000000024,1.8526699999999998,red
344585597219792896,GALAXY,18.80728,17.59773,17.08965,16.7366,16.56378,14.305,14.006,10.284,8.958,1.2095500000000001,0.5080799999999996,red
4559918905905403904,QSO,20.55144,20.19769,19.90324,19.96443,19.82036,15.954,14.718,12.122,8.794,0.353749999999998,0.2944500000000012,green
2880108106254149632,STAR,19.13183,18.10568,17.71932,17.54878,17.49165,16.129,16.178,12.404,8.356,1.0261500000000012,0.3863599999999998,blue
3256180122528540672,STAR,17.76627,16.79165,16.46102,16.34406,16.29942,15.132,15.162,12.424,8.703,0.974619999999998,0.3306299999999993,blue
408759423914240000,GALAXY,19.84149,18.21972,17.33065,16.87695,16.53552,14.013,13.818,10.553,8.406,1.6217700000000015,0.8890700000000002,red
346834098918025216,QSO,20.33794,20.01431,19.87656,19.53577,19.67815,16.537,15.214,11.547,8.738,0.3236300000000014,0.13774999999999693,green
3275278091441694720,STAR,18.41726,17.06356,16.57096,16.38916,16.32345,14.975,14.99,12.39,9.088,1.3537,0.4925999999999995,blue
343479213241690112,GALAXY,18.91312,17.68974,17.08591,16.72127,16.4757,14.481,14.241,10.862,8.92,1.2233799999999988,0.6038300000000021,red
2315986892635531264,STAR,18.39206,16.85432,16.2787,16.11376,16.036,14.714,14.755,12.654,9.027,1.5377399999999994,0.5756200000000007,blue
323155572314630144,GALAXY,19.7928,17.92747,17.00706,16.60246,16.25832,14.063,13.878,11.552,8.236,1.8653300000000002,0.9204100000000004,red
8170663707120261120,STAR,22.31771,19.66612,18.30877,17.68612,17.2114,15.013,14.858,10.891,8.885,2.6515900000000023,1.3573500000000003,blue
4555409808820557824,GALAXY,25.68722,20.43836,18.65982,18.02101,17.64217,13.99,13.776,12.424,9.323,5.2488600000000005,1.7785399999999996,red
346846193545930752,GALAXY,20.41256,18.4284,17.32254,16.82087,16.46254,14.167,13.943,11.708,9.15,1.9841599999999993,1.1058599999999998,red
386231250311997440,QSO,19.8429,19.46039,19.2447,19.01755,18.68346,14.408,13.317,10.127,7.506,0.3825099999999999,0.2156899999999986,green
4561269101788682240,QSO,21.15044,20.85901,20.75722,20.43274,20.47311,16.289,15.566,12.716,8.952,0.2914299999999983,0.10179000000000116,green
344588895754676224,GALAXY,20.38181,18.44759,17.46548,17.05313,16.70729,14.388,14.165,12.331,9.352,1.9342199999999998,0.9821100000000023,red
4538519386055792640,GALAXY,26.45019,22.77835,20.76269,19.20725,18.79886,15.219,15.136,13.059,9.391,3.6718399999999995,2.0156600000000005,red
4541924848965015552,QSO,20.95416,20.02699,19.84657,19.72144,19.59336,16.225,15.174,11.466,8.716,0.9271700000000003,0.18042000000000158,green
8389141616720631808,STAR,19.83121,18.34921,17.76304,17.6066,17.52219,16.51,16.832,12.834,9.248,1.4819999999999993,0.5861699999999992,blue
4517213869719181312,QSO,20.94162,20.39555,20.3929,20.4192,19.91874,16.614,15.084,11.881,9.08,0.5460700000000003,0.002649999999999153,green
5393086216207095808,GALAXY,26.03485,22.12661,20.79909,19.9161,19.82707,15.578,15.415,12.186,8.231,3.9082399999999993,1.3275199999999998,red
3266301128739940352,STAR,16.31164,15.0799,14.58981,14.40272,14.31363,12.897,12.945,12.084,9.108,1.2317400000000003,0.49009000000000036,blue
389713953409755136,GALAXY,20.24369,18.80516,17.86189,17.35711,17.04211,14.258,13.765,10.298,8.931,1.43853,0.9432700000000018,red
331040169576654848,QSO,18.86994,18.84002,18.82285,18.57977,18.37008,15.728,14.438,11.22,8.568,0.029920000000000613,0.01717000000000013,green
14101977022286026752,QSO,20.11686,19.74144,19.65013,19.37447,19.26003,15.239,14.458,10.707,8.591,0.3754199999999983,0.09131,green
8175245371150456832,STAR,18.55985,17.54101,17.15658,17.02263,16.91597,15.588,15.341,12.682,8.983,1.0188400000000009,0.3844299999999983,blue
409878726935865344,GALAXY,19.25949,17.25993,16.31405,15.87977,15.51287,13.225,13.168,12.211,8.762,1.999559999999999,0.9458799999999989,red
4548664304984152064,QSO,21.30576,20.91707,20.71831,20.61919,20.10079,17.17,16.471,12.703,9.253,0.3886900000000004,0.19876000000000005,green
337807388046288896,QSO,16.95119,16.39827,16.31197,16.09664,16.14938,12.887,11.854,8.99,6.449,0.5529200000000003,0.08630000000000138,green
14101936615233705984,GALAXY,21.24462,19.79819,18.80876,18.41234,18.04467,16.131,15.866,12.407,9.028,1.4464299999999994,0.9894300000000023,red
14124452689191655424,QSO,20.27841,20.21483,20.00185,19.87468,20.04762,16.452,14.806,12.168,8.94,0.06358000000000175,0.21297999999999817,green
340072652599224320,QSO,19.63083,19.43519,19.26553,19.04975,18.99915,15.959,14.825,12.123,8.993,0.19564000000000092,0.16966000000000037,green
344606213062813696,QSO,19.33464,19.00286,18.86361,18.91704,18.79409,15.1,13.861,10.689,8.332,0.33178000000000196,0.139249999999997,green
4541946014563850240,GALAXY,24.36767,22.96591,20.70589,19.63449,19.37698,15.238,14.93,12.237,9.364,1.4017599999999995,2.260020000000001,red
4562402977382684672,GALAXY,26.60828,22.45805,20.86003,19.22215,18.82445,15.096,14.953,12.826,9.192,4.1502300000000005,1.5980200000000018,red
1037053359934171136,QSO,20.25826,19.98069,19.50516,19.43112,19.34117,15.468,14.227,11.348,8.864,0.27757000000000076,0.4755299999999991,green
338961050604955648,GALAXY,20.51568,18.51908,17.4173,16.95926,16.5867,14.031,13.824,12.326,9.477,1.9966000000000008,1.101779999999998,red
330041533157894144,GALAXY,22.48185,20.24618,18.52079,17.81762,17.42551,14.371,14.204,12.588,8.995,2.2356700000000025,1.7253899999999973,red
2972542405137426432,STAR,24.37905,24.35947,21.62184,20.45151,19.7909,16.543,16.174,12.478,9.124,0.01957999999999771,2.737630000000003,blue
531466570271057920,QSO,19.8618,19.69674,19.70925,19.4549,19.32286,16.031,14.797,12.45,8.624,0.16506000000000043,-0.012510000000002464,green
331156717809199104,GALAXY,20.34888,18.3892,17.48801,17.07302,16.77035,14.385,14.237,12.147,9.029,1.9596800000000023,0.9011899999999997,red
